PROVINCIA,aab,SUPERFICIE,DESEMPLEO,PRECIPIT,VE TO,VE MO,POP,MOTOR,CONDUCTORES_MASC,CONDUCTORES_FEM,CONDUCTORES_TOT,ING_CIVIL_ÍNDICE,PIB_CAP,IPC,MUERTOS,HG,HL,ACC,COD_PENAL,DPS_MOD,VELOCIDAD_MOD,ITV_MOD,INFRACCIONES,VEL_MOTORWA,VEL_RURAL,PTW_VKM,LIGEROS_VKM,PESADOS_VKM,EDAD_MEDIANA,GAS_PRECIO_CORR,GAS_PRECIO_CTE,RCE_MOTORWA,RCE_RURAL,RCE_TOTAL,RCE_PROP_MOTORWA,INV_CONS,INV_MAINT,INV_CONS_KM,INV_MAINT_KM,MAINT_T2_200,STOCK_T10_150,STOCK_T10_175,STOCK_T10_200,STOCK_T10_225,STOCK_T10_250,STOCK_T5_200,STO9_200,STO8_200,STO9_100,STO9_300,CAP10_200,CAP9_200,CAP8_200,CAP9_100,CAP9_300
3,2010,13771,28.06,1179.4,508321,43387,805857,630.783129,307855,182303,490158,95.59459269,16520,94.08,2,8,23,22,0,1,0,0,90637,17.08,12.3,9.6,1653.5,278.3,39.71,116.16,123.4693878,172,415,587,29.30153322,11221.02272,24646.79156,19.11588198,41.98771987,74357.03479,767785.1427,757707.0926,747766.8454,737962.5591,728292.415,401261.8049,697978.8436,668104.8944,733253.9815,664412.7529,966797.1352,894573.705,850855.7306,937513.3456,853705.0692
3,2011,13771,31.6225,432.8,511802,44860,804498,636.1756027,309720,186510,496230,99.38407475,16279,96.94,1,6,20,22,0,1,1,0,92018,13.36,12.31,9.5,1619.2,271,40.15,132.75,136.9403755,178,419,597,29.81574539,7081.58872,20821.24329,11.86195766,34.87645443,71162.60924,711748.4366,701349.7971,691100.8554,680999.5876,671043.9944,270152.3154,661824.3853,615425.2424,700598.1888,625139.3743,904585.0629,861741.448,803705.9361,908619.3248,817329.552
3,2012,13771,34.6475,510.8,509460,45547,802422,634.9028317,310391,188770,499161,100.806487,15355,99.31,3,6,18,21,0,1,0,0,85338,15.4,15.24,8.62475,1538.236289,234.643132,40.57,143.26,144.255362,178.18,419.17,597.35,29.82840881,4596.102396,9884.284528,7.694153171,16.54688964,53959.88157,675325.4539,664165.8862,653184,642377.1704,631742.8077,174815.9225,607712.8399,538095.6522,647858.2754,569942.6877,858987.006,802112.2043,718364.7674,851061.2935,755959.4358
3,2013,13771,35.1625,612.8,504965,46071,799402,631.6784296,310358,189375,499733,101.3001168,15559,100.83,2,7,15,19,0,1,0,0,80194,16.64,11.14,7.10484,1491.09845,230.539574,41,143.94,142.7551324,178.18,417.53,595.71,29.91052693,27208.26083,15683.10136,45.67366811,26.32673845,45366.42226,645276.3969,633922.9779,622766.844,611804.8367,601033.8431,160878.9832,554542,416177.9996,593072.8642,518478.417,828961.3224,746888.8343,596183.3546,794599.6032,702099.9954
3,2014,13771,33.64,602,505528,47030,795611,635.395941,302451,190841,493292,101.784194,15667,100.63,0,1,16,15,0,0,0,0,95035,16.72,11.78,8.207991,1465.794001,234.944937,41.48,139.1,138.2291563,178,418,596,29.86577181,1356.792195,8418.792412,2.276496972,14.12549062,33281.09861,566244.1258,555425.4727,544807.9522,534388.1075,524162.5352,123773.5064,409211.2319,286700.1826,438412.8617,381902.1748,741726.6422,594035.2721,459505.4529,632956.088,557518.2412
3,2015,13771,29.9875,298,508566,48457,791610,642.4451434,301899,192425,494324,100.0004344,16648,100,3,2,24,23,0,0,0,0,90783,16.34,13.82,9.236156,1532.623399,248.447301,41.97,124.3,124.3,179.19,417.53,596.72,30.0291594,8907,7389,14.92659874,12.38269205,30701.46711,426121.6659,417950.9027,409934.0072,402068.2985,394351.1376,57368.03262,289873.1789,200902.8178,310045.6649,270994.8729,598450.5667,466611.3439,353243.3796,496995.4703,438101.2269
3,2016,13771,30.245,594.8,517310,50084,788219,656.3023728,301495,195202,496697,98.65718947,17146,99.66,0,2,12,12,0,0,0,0,162766,19.7,10.38,1,0,0,42.41,117.28,117.6801124,177.38,423.69,601.07,29.51070591,1779.900694,8841.727649,2.961220314,14.70997995,24168.35588,297075.7268,291412.941,285855.616,280401.931,275050.0932,48060.51517,198664.6621,163229.8359,212217.2639,185953.3928,467900.7453,356800.1404,295965.3182,379674.7543,335309.3579
3,2017,13771,28.17,342,529494,51737,785240,674.3084917,301003,196965,497968,102.0179326,17915,101.69,1,6,13,18,0,0,0,0,90516,19.84,8.18,1,0,0,42.87,123.55,121.4967057,177.38,423.69,601.07,29.51070591,4253.173821,6162.64204,7.07600416,10.25278593,21923.93074,206505.9015,202690.6835,198944.5427,195266.3271,191654.9016,45079.30728,164218.413,131046.3934,175911.4342,153286.9562,360079.9534,300461.8277,247333.0831,320305.1324,281859.373
3,2018,13771,24.7375,653,541273,53604,782979,691.2995112,301500,199706,501206,104.9998703,18525,103.46,1,3,8,11,0,0,0,1,51277,19.78,8.07,1,0,0,43.32,130.46,126.0970423,179,425,604,29.63576159,2555.241252,9066.677869,4.230531875,15.01105607,23597.6623,169972.5336,166699.9876,163489.286,160339.3494,157249.1156,42661.5401,130980.7068,62427.10158,140725.2398,121903.9627,306074.5102,254008.3405,162720.6891,271094.2392,238034.7784
4,2006,12647,10.985,294.6,580188,59935,884099,656.2477732,325687,198723,524410,84.31248223,16307,86.29,8,72,66,113,0,0,0,0,0,19.68,12,1,0,0,37.37,102.06,118.2755823,101,231,332,30.42168675,139022.1197,12826.09611,418.7413245,38.6328196,28539.91473,927135.1264,918889.9736,910752.828,902722.0911,894796.1877,663058.4072,847225.7335,813955.7097,873640.6078,821918.2528,992548.9739,926573.8218,885992.5075,956129.8283,898278.527
4,2007,12647,11.8825,354.4,611800,67739,901220,678.8575487,331920,208545,540465,89.65744102,17167,88.75,2,54,71,106,0,0,0,0,73238,20.6,12.45,95.7,1738.9,197.3,37.68,106.09,119.5380282,103,227,330,31.21212121,413932.1799,16832.95868,1254.339939,51.0089657,39923.63637,1261319.226,1252715.577,1244213.399,1235811.353,1227508.119,1027671.443,1211608.775,1183405.301,1242747.753,1181766.577,1338807.484,1299037.796,1266045.818,1333314.344,1266202.391
4,2008,12647,19.3275,336,626147,73072,907428,690.0238917,340530,216398,556928,94.10446017,17397,92.41,1,49,54,82,1,0,0,0,106809,18.92,9.54,18.2,1733.1,177.1,37.9,111.33,120.4739747,113,183,296,38.17567568,81331.95797,23818.21218,274.7701283,80.46693306,52632.69439,1289939.157,1279264.33,1268708.558,1258270.302,1247948.044,1045422.171,1241069.153,1189958.755,1281059.388,1202700.436,1378207.21,1345875.071,1290531.798,1389344.344,1304186.105
4,2009,12647,26.2225,494.1,630895,75811,918072,687.1955576,342325,221296,563621,94.4134719,16535,92.19,5,25,51,66,1,0,0,0,91288,15.71,12.23,92.4,1870.6,180.5,38.21,99.32,107.7340276,133,183,316,42.08860759,164301.3585,24229.59302,519.941008,76.67592727,63737.81448,1406245.264,1393322.092,1380549.128,1367924.424,1355446.059,1082418.797,1330460.938,1265612.411,1377109.73,1285715.215,1507488.521,1453252.113,1388368.049,1503949.949,1404642.058
4,2010,12647,28.735,567.2,637067,78113,924550,689.0562977,341903,224318,566221,95.59459269,16314,94.08,1,21,51,58,0,1,0,0,90251,17.08,12.3,94.2,1780.3,152.3,38.6,116.32,123.6394558,133,183,316,42.08860759,166858.1334,41724.11732,528.0320678,132.038346,88344.12946,1500097.079,1485315.533,1470709.853,1456277.822,1442017.254,1055851.85,1407158.297,1373220.818,1459854.334,1356645.374,1632769.322,1569182.938,1523839.552,1627111.72,1513697.097
4,2011,12647,29.1225,364.1,640932,80143,922928,694.4550387,345086,231332,576418,99.38407475,16227,96.94,3,25,54,61,0,1,1,0,93813,13.36,12.31,29.7,1756.5,143.4,39.02,132.88,137.0744791,135,182,317,42.58675079,81694.9081,40424.9877,257.7126438,127.5236205,104584.7238,1493424.124,1476966.763,1460710.039,1444651.5,1428788.725,987022.7402,1427451.309,1386953.888,1490138.07,1367624.27,1659919.176,1615482.657,1560251.672,1683775.664,1550301.256
4,2012,12647,35.5875,397.3,641024,81175,919319,697.2813572,346671,235681,582352,100.806487,15846,99.31,3,24,49,67,0,1,0,0,91871,15.4,15.24,21.853107,1667.078463,126.702306,39.47,143.37,144.3661263,134.61,182.09,316.7,42.50394695,161273.6618,6532.317705,509.2316444,20.62620052,86220.64793,1597826.254,1578873.581,1560175.945,1541729.986,1523532.387,1005404.262,1520488.472,1420349.136,1592582.026,1452050.485,1750978.983,1696852.619,1591841.171,1774833.786,1622748.099
4,2013,12647,37.035,447.2,634443,81562,919455,690.0207188,347835,237942,585777,101.3001168,15726,100.83,1,19,64,68,0,1,0,0,97630,16.64,11.14,18.013979,1566.821829,122.320179,39.91,143.81,142.6262025,132.7,182.09,314.79,42.15508752,183354.1581,9420.522208,582.4650023,29.92637062,54646.35175,1716079.938,1694598.294,1673432.86,1652579.086,1632032.482,801971.6667,1575296.311,1413621.45,1651387.319,1503272.981,1855690.246,1752779.028,1586782.639,1835952.211,1673960.957
4,2014,12647,35.915,370.9,636748,83306,917297,694.1568543,342291,241021,583312,101.784194,16245,100.63,2,8,42,45,0,0,0,0,93268,16.72,11.78,24.304032,1638.982839,133.310428,40.43,138.11,137.2453543,164,182,346,47.39884393,378325.0174,8431.564533,1093.424906,24.36868362,23937.31422,1966952.607,1944360.58,1922115.402,1900211.85,1878644.774,1092209.955,1763674.039,1641877.224,1837826.663,1693503.392,2104480.029,1941803.568,1810873.115,2024289.827,1863680.035
